Field,Type,Frequency,Percent,Examples
blocks[].fields.advanced_modules,Array,47206,36.83,"['pull', 'survey'] | ['combinedopenended', 'annotatable', 'videoalpha', 'peergrading'] | ['survay', 'poll'] | ['survey', 'poll'] | ['survey', 'poll', 'google-document']"
blocks[].fields.advanced_modules[],Array,47206,36.83,
blocks[].fields.advertised_start,Null,30321,23.66,None | 11-01-2016 | Proximanente | Proximamente
blocks[].fields.allow_anonymous,Boolean,3389,2.64,False
blocks[].fields.allow_latex,Boolean,116371,90.8,True | False
blocks[].fields.alt_text,String,84019,65.56,
blocks[].fields.answers,Array,2695,2.1,"[['Y', 'Yes'], ['N', 'No'], ['M', 'Maybe']] | [['1474043297218', '<apellidos>']] | [['R', {'img_alt': '', 'img': '', 'label': 'Red'}], ['B', {'img_alt': '', 'img': '', 'label': 'Blue'}], ['G', {'img_alt': '', 'img': '', 'label': 'Gre | [['Y', 'Yes'], ['N', 'No'], ['M', 'Maybe'], ['1475168369092', 'Nose']] | [['R', {'img': '', 'img_alt': '', 'label': 'Red'}], ['B', {'img': '', 'img_alt': '', 'label': 'Blue'}], ['G', {'img': '', 'img_alt': '', 'label': 'Gre"
blocks[].fields.answers[],Array,2695,2.1,
blocks[].fields.answers[][],Array,11619,9.07,
blocks[].fields.answers[][].img,String,7726,6.03,
blocks[].fields.answers[][].img_alt,String,7726,6.03,
blocks[].fields.answers[][].label,String,7726,6.03,cual es tu animal favorito? | Blue | Green | Other | Red
blocks[].fields.ask_to_send_email,Boolean,950,0.74,True | False
blocks[].fields.ask_to_send_username,Boolean,950,0.74,True | False
blocks[].fields.button_text,String,426,0.33, | enlazar | hola
blocks[].fields.catalog_visibility,String,105737,82.5, | none | about | null | both
blocks[].fields.cert_html_view_enabled,Boolean,9457,7.38,True | False
